ex_name,run_id,bottleneck_tput,q_size,scheme_a,scheme_b,rtprop_a,rtprop_b,runtime,loss,interval_fairness,time_to_max_fairness,delay,throughput,duration,throughput_rsd1,throughput_rsd2,throughput_rsd3,throughput_rsd4,throughput_rsd5,throughput_rsd6,95percentile_bottleneck_delay,bottleneck_rtprop,converged_tput,flow_data,group_interval_fairness,group_overall_fairness,mean_bottleneck_delay,overall_fairness,scheme_a_tput,scheme_b_tput
3xvegas0ms_3xvegas0ms_queue1500000B,1,12,1500000,vegas,vegas,0,0,90,0.0014888767131859826,0.8023386211240507,2.5,,11.98101366318899,90009.148,0.9778040563778871,0.5142153377934987,0.4535910138773249,0.38788027295436217,0.15628887057290305,0.13424259088172752,137.207,50.0,12.0001875,"{1: {'delay': 136.517, 'loss': 0.0010815622951040327, 'tput': 2.956554444702377}, 'all': {'delay': 137.207, 'loss': 0.0014888767131859826, 'tput': 11.98101366318899}, 3: {'delay': 137.406, 'loss': 0.0014284282456449304, 'tput': 1.6793640267379548}, 4: {'delay': 137.76, 'loss': 0.0016532857069482265, 'tput': 1.9347838003459676}, 5: {'delay': 137.38, 'loss': 0.002004452557280545, 'tput': 2.2228465708931373}, 6: {'delay': 137.307, 'loss': 0.0016576018356896371, 'tput': 4.009586312720937}, 2: {'delay': 137.167, 'loss': 0.0012216074671164145, 'tput': 1.3862833608678242}}",0.9131320612273268,0.9127871827933298,130.26849474843678,0.8100037486695872,4.1454375,7.85475
3xvegas0ms_3xvegas0ms_queue248584B,1,12,248584,vegas,vegas,0,0,90,0.0015000044000128554,0.7924551136783244,5.5,,11.980898100705769,90008.01299999999,0.9538729046815421,0.6986155059631491,0.464794236973059,0.3523427203346566,0.2770052148442488,0.13846069012558684,137.621,50.0,11.999999999999998,"{1: {'delay': 136.479, 'loss': 0.0010559605098928726, 'tput': 3.0272278926574137}, 'all': {'delay': 137.621, 'loss': 0.0015000044000128554, 'tput': 11.980898100705769}, 3: {'delay': 141.728, 'loss': 0.001076994066480652, 'tput': 1.6712496893344237}, 4: {'delay': 147.284, 'loss': 0.0013597206771136516, 'tput': 1.8826221909003993}, 5: {'delay': 148.71, 'loss': 0.0019568038591998294, 'tput': 2.627055033279884}, 6: {'delay': 136.796, 'loss': 0.0021372471066740673, 'tput': 3.8853078969100014}, 2: {'delay': 138.638, 'loss': 0.001002993601569524, 'tput': 1.1259647687119254}}",0.9000095584671395,0.8971569984597628,130.55892535270814,0.8002064482434225,3.9685581395348835,8.031441860465115
3xvegas0ms_3xvegas0ms_queue184234B,1,12,184234,vegas,vegas,0,0,90,0.0024087629419391465,0.5350783528653469,1.5,,11.981196062062274,90011.784,1.7511099599848767,1.1459149179057069,1.0641877177857495,0.5944360810453149,0.3027281472780423,0.11482522931000076,72.47,50.0,12.0,"{1: {'delay': 75.068, 'loss': 0.012305520123294666, 'tput': 1.5836756662883162}, 'all': {'delay': 72.47, 'loss': 0.0024087629419391465, 'tput': 11.981196062062274}, 3: {'delay': 72.473, 'loss': 0.0007808035941355707, 'tput': 1.344244940743289}, 4: {'delay': 72.509, 'loss': 0.0006772129796445148, 'tput': 1.8893740697853583}, 5: {'delay': 72.523, 'loss': 0.0007431204386855184, 'tput': 2.767811112621677}, 6: {'delay': 72.352, 'loss': 0.0011391279393403453, 'tput': 5.831937894022503}, 2: {'delay': 71.846, 'loss': 0.0006295166067880054, 'tput': 1.3451155306380655}}",0.7021681862254401,0.7017834345665076,65.05042774971629,0.5386196818450756,2.08875,9.91125
3xvegas0ms_3xvegas0ms_queue610635B,1,12,610635,vegas,vegas,0,0,90,0.0015998091605428089,0.7575668379395979,47.5,,11.980515457502637,90012.891,0.7780479045956351,0.8508708186337711,0.5537152418548125,0.4528964583351726,0.22952554921799312,0.14991200976044158,144.917,50.0,12.0,"{1: {'delay': 144.369, 'loss': 0.0014874244214860832, 'tput': 3.5802062069090494}, 'all': {'delay': 144.917, 'loss': 0.0015998091605428089, 'tput': 11.980515457502637}, 3: {'delay': 145.44, 'loss': 0.000771595809308856, 'tput': 1.5553606373460136}, 4: {'delay': 147.771, 'loss': 0.0014229656216249165, 'tput': 1.7986420011451774}, 5: {'delay': 146.436, 'loss': 0.001897364792203815, 'tput': 2.1673782894438482}, 6: {'delay': 145.265, 'loss': 0.002303285307889702, 'tput': 4.006033184735648}, 2: {'delay': 144.828, 'loss': 0.0008392638201573099, 'tput': 1.0093396818573943}}",0.9614599583240734,0.9313040645826409,136.6563223925766,0.7626735453504567,4.3704375,7.6295625
3xvegas0ms_3xvegas0ms_queue101196B,1,12,101196,vegas,vegas,0,0,90,0.0013779043000126112,0.6861442760885514,36.5,,11.9812167331877,90008.624,1.5714489728974905,1.1148533120111395,0.7145434345411236,0.621341307123843,0.13128013216073278,0.11266480471419692,69.243,50.0,12.0,"{1: {'delay': 68.553, 'loss': 0.003621758166833522, 'tput': 1.7245296905601126}, 'all': {'delay': 69.243, 'loss': 0.0013779043000126112, 'tput': 11.9812167331877}, 3: {'delay': 68.943, 'loss': 0.0005144860992716271, 'tput': 1.7489232485572366}, 4: {'delay': 69.255, 'loss': 0.0011014967702984713, 'tput': 1.8875695495989007}, 5: {'delay': 69.596, 'loss': 0.0009498675999700668, 'tput': 3.9688853207080412}, 6: {'delay': 68.929, 'loss': 0.0015517316290492023, 'tput': 3.8041997388192565}, 2: {'delay': 68.53, 'loss': 0.0004095371929392355, 'tput': 1.3783149463257922}}",0.7785962087509475,0.7784995686029029,62.16033567351662,0.6873415805610409,2.7995625,9.2004375
3xvegas0ms_3xvegas0ms_queue823920B,1,12,823920,vegas,vegas,0,0,90,0.0016663382869349652,0.8109201962409831,7.0,,11.980960365201634,90010.55,0.7199535122980228,0.730557375511847,0.46466751926846095,0.42135432225742886,0.24826569756197897,0.12772275214247972,149.623,50.0,11.9998125,"{1: {'delay': 149.6, 'loss': 0.001479502090339202, 'tput': 3.599847686792894}, 'all': {'delay': 149.623, 'loss': 0.0016663382869349652, 'tput': 11.980960365201634}, 3: {'delay': 149.465, 'loss': 0.001684427604050187, 'tput': 1.6028521264716116}, 4: {'delay': 149.686, 'loss': 0.0015389715474940502, 'tput': 1.8707539350451676}, 5: {'delay': 149.544, 'loss': 0.0020943888422991774, 'tput': 2.127168094568868}, 6: {'delay': 149.502, 'loss': 0.0018672080371272548, 'tput': 3.5591280044014737}, 2: {'delay': 155.53, 'loss': 0.0013475389895434287, 'tput': 1.2571607496917399}}",0.9686160330891191,0.9596627637507182,141.49070255565817,0.8288077148185847,4.7698125,7.23
3xvegas0ms_3xvegas0ms_queue335410B,1,12,335410,vegas,vegas,0,0,90,0.0014888767131859826,0.7168206063883668,0.0,,11.98076329068519,90011.029,1.012291979540777,0.697925270239315,0.6140594147928236,0.4056573931556188,0.17935936037964068,0.12306775200812163,136.934,50.0,12.000000000000002,"{1: {'delay': 136.31, 'loss': 0.0010111166453576903, 'tput': 2.8979176622813956}, 'all': {'delay': 136.934, 'loss': 0.0014888767131859826, 'tput': 11.98076329068519}, 3: {'delay': 137.691, 'loss': 0.0012444101786115436, 'tput': 1.4462501457062324}, 4: {'delay': 139.688, 'loss': 0.0014818324054135523, 'tput': 1.942918671158414}, 5: {'delay': 137.66, 'loss': 0.0010297810724669842, 'tput': 2.3310725972398587}, 6: {'delay': 136.982, 'loss': 0.0024328806084926713, 'tput': 4.550185845645582}, 2: {'delay': 136.739, 'loss': 0.000976190390967524, 'tput': 1.1569568702988513}}",0.8529123814014462,0.8531487788114203,129.96948025100696,0.7197394460059788,3.5106976744186045,8.489302325581397
3xvegas0ms_3xvegas0ms_queue452563B,1,12,452563,vegas,vegas,0,0,90,0.0024199975453675915,0.5052727689708714,0.5,,11.980856304550578,90008.327,1.1868750473154557,0.7529431249252915,0.5294001202605175,0.3622611816997625,0.11682237845405334,0.262684354059089,244.401,50.0,12.0,"{1: {'delay': 252.113, 'loss': 0.0001695481180949976, 'tput': 3.146632354068202}, 'all': {'delay': 244.401, 'loss': 0.0024199975453675915, 'tput': 11.980856304550578}, 3: {'delay': 250.126, 'loss': 0.0023313996531914016, 'tput': 0.7721695973741748}, 4: {'delay': 253.165, 'loss': 0.002796263389082676, 'tput': 1.4876027060202688}, 5: {'delay': 244.7, 'loss': 0.003543379229655863, 'tput': 2.708587140167705}, 6: {'delay': 219.408, 'loss': 0.0035851173100701628, 'tput': 5.867280634562845}, 2: {'delay': 244.837, 'loss': 0.0013504016094386673, 'tput': 0.6273978519157888}}",0.6973964054800328,0.7039114094055471,212.39514494414524,0.5296076330064212,2.108625,9.891375
3xvegas0ms_3xvegas0ms_queue1111701B,1,12,1111701,vegas,vegas,0,0,90,0.0015775545362824994,0.7985906594189133,10.0,,11.98131639197395,90010.87999999999,0.7088494952219616,0.6055773159357574,0.5516320613604369,0.42631188819689253,0.3851800160523748,0.12830613592368653,142.835,50.0,12.0,"{1: {'delay': 142.397, 'loss': 0.0012502551446610388, 'tput': 3.8339528732526564}, 'all': {'delay': 142.835, 'loss': 0.0015775545362824994, 'tput': 11.98131639197395}, 3: {'delay': 144.046, 'loss': 0.0013456204284147955, 'tput': 1.560192662248267}, 4: {'delay': 145.699, 'loss': 0.0016107205743424169, 'tput': 1.7874376757050645}, 5: {'delay': 149.336, 'loss': 0.001990031066936293, 'tput': 2.238993717531566}, 6: {'delay': 142.64, 'loss': 0.0019958837484943537, 'tput': 3.329222133994776}, 2: {'delay': 142.692, 'loss': 0.001405625814286826, 'tput': 1.2051121275320595}}",0.9897282968277658,0.9759439573941906,134.32114835005896,0.8275272939533185,5.058,6.942
3xvegas0ms_3xvegas0ms_queue75000B,1,12,75000,vegas,vegas,0,0,90,0.0016664123351128879,0.6090983923558896,0.0,,11.980403668780541,90010.726,1.3856346849393213,0.9107463229798544,0.7957474955432062,0.49154389709293383,0.2411720076685381,0.11714876131481455,57.53,50.0,12.0,"{1: {'delay': 57.745, 'loss': 0.004440706027851404, 'tput': 1.9132365913459544}, 'all': {'delay': 57.53, 'loss': 0.0016664123351128879, 'tput': 11.980403668780541}, 3: {'delay': 57.171, 'loss': 0.0007160039532965179, 'tput': 1.67522858529238}, 4: {'delay': 57.402, 'loss': 0.0018910448855051776, 'tput': 1.267291050348494}, 5: {'delay': 57.21, 'loss': 0.001057213579697014, 'tput': 2.592479395703523}, 6: {'delay': 57.678, 'loss': 0.0013767883218244181, 'tput': 5.358368291132901}, 2: {'delay': 57.57, 'loss': 0.0005686839094516394, 'tput': 1.7368427975521328}}",0.8131856067589922,0.8132787522795563,51.81027066481224,0.6110125656440664,3.1250625,8.8749375
