ex_name,run_id,bottleneck_tput,q_size,scheme_a,scheme_b,rtprop_a,rtprop_b,runtime,loss,interval_fairness,time_to_max_fairness,delay,throughput,duration,throughput_rsd1,throughput_rsd2,throughput_rsd3,throughput_rsd4,throughput_rsd5,throughput_rsd6,95percentile_bottleneck_delay,bottleneck_rtprop,flow_data,group_interval_fairness,group_overall_fairness,mean_bottleneck_delay,overall_fairness,scheme_a_tput,scheme_b_tput
3xvegas0ms_3xvegas0ms_queue1500000B,1,12,1500000,vegas,vegas,0,0,90,0.0008783225980323328,0.804406678092026,8.5,,11.981313417979653,90005.331,0.7255323999072881,0.5536159254075407,0.5990083030756173,0.43683033456729464,0.2990384411931411,0.18965805773337394,140.156,50.0,"{1: {'delay': 140.201, 'loss': 0.0, 'tput': 3.968656548114498}, 'all': {'delay': 140.156, 'loss': 0.0008783225980323328, 'tput': 11.981313417979653}, 3: {'delay': 149.035, 'loss': 0.0, 'tput': 1.945435239433057}, 4: {'delay': 139.644, 'loss': 0.002098616591942548, 'tput': 2.1325930815819594}, 5: {'delay': 139.561, 'loss': 0.001408141045415201, 'tput': 2.434799715865239}, 6: {'delay': 139.508, 'loss': 0.0018430305541965453, 'tput': 3.104407362427913}, 2: {'delay': 144.966, 'loss': 0.0, 'tput': 1.2595107638693275}}",0.9941990488280086,0.985924254490374,124.18716603064054,0.854031853958543,7.173602551416883,7.6718001598751115
3xvegas0ms_3xvegas0ms_queue248584B,1,12,248584,vegas,vegas,0,0,90,0.0009005287104117965,0.7627734867532008,29.0,,11.981055205167339,90008.259,1.006297815511951,0.5571411516086143,0.5346343983843735,0.41992867974214587,0.29646732884701277,0.2282111963641224,142.669,50.0,"{1: {'delay': 142.766, 'loss': 0.0, 'tput': 3.3070838040404436}, 'all': {'delay': 142.669, 'loss': 0.0009005287104117965, 'tput': 11.981055205167339}, 3: {'delay': 142.485, 'loss': 0.0, 'tput': 1.755583677238494}, 4: {'delay': 142.867, 'loss': 0.001618703659702625, 'tput': 2.1739745787408253}, 5: {'delay': 142.819, 'loss': 0.0018305292530778061, 'tput': 2.621115227099907}, 6: {'delay': 142.533, 'loss': 0.0015264828024149635, 'tput': 3.749207567823776}, 2: {'delay': 142.314, 'loss': 0.0, 'tput': 1.3413777404739586}}",0.9970259567696609,0.9152881181794897,123.849161211366,0.8269575698523175,6.404045221752897,8.544297373664508
3xvegas0ms_3xvegas0ms_queue184234B,1,12,184234,vegas,vegas,0,0,90,0.0010670888228136999,0.7525631494851723,13.5,,11.98125556166655,90008.992,0.8122304896105496,0.7028641604122686,0.6426441412611662,0.4209512316743673,0.30568211104635795,0.23989021025156423,122.762,50.0,"{1: {'delay': 123.429, 'loss': 4.095882982257937e-05, 'tput': 3.8438490384588646}, 'all': {'delay': 122.762, 'loss': 0.0010670888228136999, 'tput': 11.98125556166655}, 3: {'delay': 122.853, 'loss': 0.002438220313493722, 'tput': 1.7366628397842885}, 4: {'delay': 122.721, 'loss': 0.000974411731397562, 'tput': 1.9702474463112725}, 5: {'delay': 122.331, 'loss': 0.0016335284250281745, 'tput': 2.517700927563408}, 6: {'delay': 122.142, 'loss': 0.002017002999115336, 'tput': 2.92696687589161}, 2: {'delay': 123.309, 'loss': 0.0, 'tput': 1.8180566307188804}}",0.996163401678016,0.995244136629381,107.9703870989275,0.8475663967389006,7.398568508962033,7.41491524976629
3xvegas0ms_3xvegas0ms_queue610635B,1,12,610635,vegas,vegas,0,0,90,0.002242611881686396,0.5503947710273073,8.0,,11.981172804284832,90012.768,1.2130746299057795,0.7767066913484115,0.6451810314940596,0.26433599472933916,0.13016517300475194,0.29862930501922375,239.501,50.0,"{1: {'delay': 248.346, 'loss': 4.437911313015519e-05, 'tput': 3.005973147324156}, 'all': {'delay': 239.501, 'loss': 0.002242611881686396, 'tput': 11.981172804284832}, 3: {'delay': 246.788, 'loss': 0.0, 'tput': 1.0528595628823314}, 4: {'delay': 248.364, 'loss': 0.0027173611114466034, 'tput': 1.7656098578625063}, 5: {'delay': 232.795, 'loss': 0.0034876285191108858, 'tput': 3.0447812927457734}, 6: {'delay': 221.847, 'loss': 0.003925223036694625, 'tput': 5.121850840304171}, 2: {'delay': 243.433, 'loss': 0.0, 'tput': 0.6115964707636805}}",0.6775019381950054,0.7267210436241734,214.04457206906528,0.6151975482625213,4.670429180970168,9.932241990912452
3xvegas0ms_3xvegas0ms_queue101196B,1,12,101196,vegas,vegas,0,0,90,0.0012447008712639374,0.6071692816007732,1.0,,11.980810812399163,90013.399,1.5258580983476935,1.067250179634322,1.0357277004474073,0.47891970410474427,0.21658593186413036,0.1635682418372531,68.347,50.0,"{1: {'delay': 67.708, 'loss': 0.0031353990735940584, 'tput': 1.8620687829163618}, 'all': {'delay': 68.347, 'loss': 0.0012447008712639374, 'tput': 11.980810812399163}, 3: {'delay': 68.167, 'loss': 0.00011220036891479435, 'tput': 1.3867939483121654}, 4: {'delay': 68.816, 'loss': 0.000817385951772942, 'tput': 1.957022463320739}, 5: {'delay': 68.788, 'loss': 0.0008882906415915715, 'tput': 3.086374007177537}, 6: {'delay': 68.132, 'loss': 0.0015634705098424018, 'tput': 5.30855872823951}, 2: {'delay': 67.846, 'loss': 0.0, 'tput': 1.428477901027205}}",0.7275908007945352,0.7273289056716158,60.805938076431,0.6118475974229984,4.677340632255732,10.351955198737787
3xvegas0ms_3xvegas0ms_queue823920B,1,12,823920,vegas,vegas,0,0,90,0.0007561069647621377,0.5553010258634051,1.0,,11.980631617594998,90011.647,1.7540740242912922,1.2308406761187278,1.0250084578358596,0.6318838349525531,0.27413163021995063,0.14895503416859693,76.39,50.0,"{1: {'delay': 75.31, 'loss': 0.0, 'tput': 1.6642106634628473}, 'all': {'delay': 76.39, 'loss': 0.0007561069647621377, 'tput': 11.980631617594998}, 3: {'delay': 75.993, 'loss': 0.0, 'tput': 1.5758855702914165}, 4: {'delay': 76.9, 'loss': 0.000341031474704212, 'tput': 1.8765914365880045}, 5: {'delay': 76.938, 'loss': 0.001319093308023822, 'tput': 2.857042397117992}, 6: {'delay': 76.374, 'loss': 0.001327596319009472, 'tput': 5.836697106835137}, 2: {'delay': 75.522, 'loss': 0.0, 'tput': 1.3291722678391007}}",0.715682817660138,0.7150383468890735,67.24786980708039,0.5591555765297033,4.569268501593364,10.570330940541133
3xvegas0ms_3xvegas0ms_queue335410B,1,12,335410,vegas,vegas,0,0,90,0.000900497501523323,0.7726805876358573,10.5,,11.981120861733974,90010.88799999999,0.687551990062238,0.915490794204628,0.4813175310070131,0.3767456825225134,0.3729126851220248,0.16098795697508303,150.677,50.0,"{1: {'delay': 150.172, 'loss': 0.0, 'tput': 4.028210413212446}, 'all': {'delay': 150.677, 'loss': 0.000900497501523323, 'tput': 11.981120861733974}, 3: {'delay': 153.218, 'loss': 0.0, 'tput': 1.7338776658074824}, 4: {'delay': 154.244, 'loss': 0.001514793167111339, 'tput': 2.1119068178714655}, 5: {'delay': 156.927, 'loss': 0.001882612897049607, 'tput': 2.639567136189218}, 6: {'delay': 149.357, 'loss': 0.0018353756731048776, 'tput': 3.2188847801011446}, 2: {'delay': 158.136, 'loss': 0.0, 'tput': 1.1416111660320938}}",0.9896731450921745,0.9698496768102258,133.64609581131447,0.8219018127478998,6.903699245052023,7.970358734161828
3xvegas0ms_3xvegas0ms_queue452563B,1,12,452563,vegas,vegas,0,0,90,0.0008449733852654573,0.8097860153450831,5.5,,11.981061156085389,90009.71800000001,0.7145095118879655,0.5554921761191394,0.5062634898302231,0.4363669008198376,0.32623165323579983,0.16252614695893816,141.304,50.0,"{1: {'delay': 141.114, 'loss': 0.0, 'tput': 3.981264651665379}, 'all': {'delay': 141.304, 'loss': 0.0008449733852654573, 'tput': 11.981061156085389}, 3: {'delay': 141.651, 'loss': 0.0, 'tput': 1.763276411016726}, 4: {'delay': 141.366, 'loss': 0.001576153097844868, 'tput': 2.029362493107512}, 5: {'delay': 141.828, 'loss': 0.001641163646693422, 'tput': 2.297410508658413}, 6: {'delay': 141.247, 'loss': 0.0018329707884836566, 'tput': 3.423828073623127}, 2: {'delay': 141.056, 'loss': 0.0, 'tput': 1.3681283272546676}}",0.9890103008834646,0.9825573088182443,125.01595205990012,0.8371113725168174,7.112669389936772,7.750601075389053
3xvegas0ms_3xvegas0ms_queue1111701B,1,12,1111701,vegas,vegas,0,0,90,0.0007782961576097147,0.7336512819476847,19.5,,11.980923187970095,90013.153,0.8287247152264466,0.6030339121954171,0.5544208044168552,0.4789035924248291,0.32553329573429696,0.23937685116636187,143.583,50.0,"{1: {'delay': 143.691, 'loss': 0.0, 'tput': 3.838506490419124}, 'all': {'delay': 143.583, 'loss': 0.0007782961576097147, 'tput': 11.980923187970095}, 3: {'delay': 143.479, 'loss': 0.0, 'tput': 1.7252715040832503}, 4: {'delay': 143.675, 'loss': 0.0017152494617235226, 'tput': 2.050747533745724}, 5: {'delay': 143.624, 'loss': 0.0018953338865301816, 'tput': 2.531357506065644}, 6: {'delay': 143.477, 'loss': 0.001090505247075102, 'tput': 3.387600353174696}, 2: {'delay': 143.233, 'loss': 0.0, 'tput': 1.377841595162801}}",0.9954009940290786,0.9681615138785172,123.50956377593593,0.8356346817419215,6.941619589665176,7.969705392986064
3xvegas0ms_3xvegas0ms_queue75000B,1,12,75000,vegas,vegas,0,0,90,0.001544213247124837,0.8435010978968477,0.0,,11.981367836497155,90014.238,1.4062704867415976,0.8175106997647,0.44017714593130286,0.35849051441833646,0.16680101733702982,0.13423801009773276,54.243,50.0,"{1: {'delay': 54.767, 'loss': 0.0043201855355818886, 'tput': 1.985455670863711}, 'all': {'delay': 54.243, 'loss': 0.001544213247124837, 'tput': 11.981367836497155}, 3: {'delay': 54.279, 'loss': 0.00024066948474588123, 'tput': 2.6270694453429173}, 4: {'delay': 54.348, 'loss': 0.0020352130217701214, 'tput': 2.2760437365828086}, 5: {'delay': 54.256, 'loss': 0.001461227497340123, 'tput': 2.34371141758085}, 6: {'delay': 53.698, 'loss': 0.0012295814072077471, 'tput': 3.7509762355254783}, 2: {'delay': 54.762, 'loss': 0.0002564222373923064, 'tput': 1.8269329768119762}}",0.9284765237108058,0.9286084303831469,48.88160042718403,0.8445583400838532,6.4394580930186045,8.370731389689137
