,ex_name,run_id,bottleneck_tput,q_size,scheme_a,scheme_b,rtprop_a,rtprop_b,runtime,loss,interval_fairness,time_to_max_fairness,delay,throughput,duration,throughput_rsd1,throughput_rsd2,throughput_rsd3,throughput_rsd4,throughput_rsd5,throughput_rsd6,95percentile_bottleneck_delay,bottleneck_rtprop,converged_tput,flow_data,group_interval_fairness,group_overall_fairness,mean_bottleneck_delay,overall_fairness,scheme_a_tput,scheme_b_tput
0,3xbbr0ms_3xbbr0ms_queue1500000B,1,12,1500000,bbr,bbr,0,0,90,0.0014445893164714008,0.9977903393692816,39.5,,11.887745857896427,90011.752,0.9559441076134392,0.627718330383366,0.43953855535755343,0.29730649358495104,0.28352814399402065,0.6221214970397233,507.285,50.0,11.87032558139535,"{1: {'delay': 334.144, 'loss': 0.0011202129735327082, 'tput': 2.6153632174556973}, 'all': {'delay': 507.285, 'loss': 0.0014445893164714008, 'tput': 11.887745857896423}, 3: {'delay': 385.976, 'loss': 0.0013856682082139526, 'tput': 1.9479637899200284}, 4: {'delay': 410.165, 'loss': 0.0019155215524037095, 'tput': 1.8385589656384043}, 5: {'delay': 413.921, 'loss': 0.0018402153297297774, 'tput': 2.0525732635027554}, 6: {'delay': 660.804, 'loss': 0.0014182617909557216, 'tput': 3.129591312227698}, 2: {'delay': 343.342, 'loss': 0.0012877808322939721, 'tput': 2.2997239874248536}}",0.9998714655152428,0.9778935865841696,201.18749938888325,0.9330330350285192,5.042790697674419,6.827534883720932
1,3xbbr0ms_3xbbr0ms_queue248584B,1,12,248584,bbr,bbr,0,0,90,0.0511880159091701,0.9972705652624644,41.5,,11.864033060624893,90008.70400000001,1.070830625610652,0.6527934622291166,0.3458478057890839,0.4747353766833534,0.5884847398483467,0.16361612085533084,190.918,50.0,11.839255813953487,"{1: {'delay': 190.516, 'loss': 0.02981455347737072, 'tput': 2.3600547787022905}, 'all': {'delay': 190.918, 'loss': 0.051188015909170104, 'tput': 11.864033060624891}, 3: {'delay': 190.707, 'loss': 0.03695203559748317, 'tput': 1.8994112470827424}, 4: {'delay': 189.807, 'loss': 0.01969363104570665, 'tput': 1.5406897250161085}, 5: {'delay': 191.22, 'loss': 0.08851923293908703, 'tput': 3.251726554471453}, 6: {'delay': 190.709, 'loss': 0.04144538326813674, 'tput': 2.042136427585639}, 2: {'delay': 191.015, 'loss': 0.0621092884809743, 'tput': 2.694107087125041}}",0.9997441523027956,0.9893704596033792,139.4521654681917,0.9396451562440914,5.3060465116279065,6.533209302325581
2,3xbbr0ms_3xbbr0ms_queue184234B,1,12,184234,bbr,bbr,0,0,90,0.05263717937335632,0.9963428276081407,42.5,,11.885089605260914,90011.735,0.8902632986195778,0.5457803917187997,0.32494673101007177,0.356271575602207,0.2802656785036376,0.4735093459408577,147.882,50.0,11.869220217054265,"{1: {'delay': 147.672, 'loss': 0.036881447414862545, 'tput': 2.785203264027702}, 'all': {'delay': 147.882, 'loss': 0.052637179373356324, 'tput': 11.885089605260914}, 3: {'delay': 148.015, 'loss': 0.06821599243288357, 'tput': 1.9200028993742917}, 4: {'delay': 147.977, 'loss': 0.06973529234861808, 'tput': 2.0888756704077025}, 5: {'delay': 147.198, 'loss': 0.025795840216177424, 'tput': 1.8812168249302181}, 6: {'delay': 147.668, 'loss': 0.04463163707046369, 'tput': 2.4441432277131283}, 2: {'delay': 148.126, 'loss': 0.06798549805914067, 'tput': 2.5809107523879633}}",0.9987697757161592,0.9983985831405814,126.7579305645903,0.9861297958102768,5.69693023255814,6.172289984496124
3,3xbbr0ms_3xbbr0ms_queue610635B,1,12,610635,bbr,bbr,0,0,90,0.002629231305852131,0.9953289883665468,37.5,,11.8848305910006,90008.589,0.8535887777105483,0.479688953270142,0.35382821736439524,0.2159869153789509,0.2876252754957365,0.22759094956312306,410.087,50.0,11.866801612403103,"{1: {'delay': 360.118, 'loss': 0.001385609442146274, 'tput': 2.8828173805572903}, 'all': {'delay': 410.087, 'loss': 0.002629231305852131, 'tput': 11.884830591000599}, 3: {'delay': 381.071, 'loss': 0.001985623677269177, 'tput': 1.9624205301979616}, 4: {'delay': 412.876, 'loss': 0.0029267316153939182, 'tput': 2.1845486110392134}, 5: {'delay': 417.344, 'loss': 0.003252264497565216, 'tput': 2.1075132752610175}, 6: {'delay': 419.261, 'loss': 0.005434264532298894, 'tput': 2.172507056253937}, 2: {'delay': 382.922, 'loss': 0.002072094359309218, 'tput': 2.38030855033413}}",0.99945731640014,0.9971030412841853,183.00396472475208,0.9957751070188148,5.613581395348839,6.253220217054264
4,3xbbr0ms_3xbbr0ms_queue101196B,1,12,101196,bbr,bbr,0,0,90,0.14641715228925256,0.9148855299432544,26.0,,11.871963722269554,90011.364,0.7803557015522478,0.6294351240157988,0.4768147865186701,0.3348404164625011,0.33410346134130803,0.20095660264328505,93.116,50.0,11.856579968992248,"{1: {'delay': 93.082, 'loss': 0.1179569470274453, 'tput': 3.164150162195076}, 'all': {'delay': 93.116, 'loss': 0.14641715228925256, 'tput': 11.871963722269557}, 3: {'delay': 93.286, 'loss': 0.16592194640986524, 'tput': 1.572827712611539}, 4: {'delay': 93.091, 'loss': 0.1638101511488821, 'tput': 2.020383722959339}, 5: {'delay': 92.968, 'loss': 0.15543706570429816, 'tput': 2.170787217649913}, 6: {'delay': 92.933, 'loss': 0.13373337835986387, 'tput': 2.7019126558569346}, 2: {'delay': 93.253, 'loss': 0.16524447475914394, 'tput': 2.1136320100601638}}",0.9935841094812686,0.9864500449697758,87.42373075023016,0.9482492803319378,5.2334883720930225,6.623091596899224
5,3xbbr0ms_3xbbr0ms_queue823920B,1,12,823920,bbr,bbr,0,0,90,0.014573524627750524,0.9917473391577534,63.0,,11.863308839545601,90010.034,1.0146456697627548,0.5281675070997299,0.3794906256363513,0.3183600918505581,0.5900627687091132,0.3111241157074877,571.91,50.0,11.836136,"{1: {'delay': 562.745, 'loss': 0.007563602439442874, 'tput': 2.484305298159729}, 'all': {'delay': 571.91, 'loss': 0.014573524627750523, 'tput': 11.8633088395456}, 3: {'delay': 570.91, 'loss': 0.009780694788180333, 'tput': 2.204894491936463}, 4: {'delay': 570.823, 'loss': 0.012372980400941258, 'tput': 1.6389688656333832}, 5: {'delay': 572.914, 'loss': 0.03585226844343892, 'tput': 3.0853844093572036}, 6: {'delay': 525.924, 'loss': 0.007921900086016898, 'tput': 1.8190413634594105}, 2: {'delay': 570.475, 'loss': 0.008712103837555163, 'tput': 2.5068295568932806}}",0.9978888844197586,0.9958682710084692,210.5188524652793,0.9517065843914964,5.536875,6.299261
6,3xbbr0ms_3xbbr0ms_queue335410B,1,12,335410,bbr,bbr,0,0,90,0.012562341635842245,0.9977714534684856,45.0,,11.88376606723633,90007.62299999998,0.8756573297958917,0.5422196363293721,0.32142458129921353,0.21659035955381165,0.2277849079858416,0.3976092806539056,247.418,50.0,11.865871379844961,"{1: {'delay': 246.804, 'loss': 0.007660785129283587, 'tput': 2.7805626856482157}, 'all': {'delay': 247.418, 'loss': 0.012562341635842245, 'tput': 11.88376606723633}, 3: {'delay': 247.804, 'loss': 0.01541142623689773, 'tput': 2.1107706130232082}, 4: {'delay': 247.324, 'loss': 0.013571583520445962, 'tput': 1.9469430758954334}, 5: {'delay': 246.498, 'loss': 0.008526513820001025, 'tput': 1.999747139330958}, 6: {'delay': 247.885, 'loss': 0.01753179148136741, 'tput': 2.4278066072868523}, 2: {'delay': 247.49, 'loss': 0.014319709253835522, 'tput': 2.449816692272307}}",0.9997502116607836,0.99785208490483,147.47252357876792,0.9890699809515938,5.657674418604652,6.2081969612403105
7,3xbbr0ms_3xbbr0ms_queue452563B,1,12,452563,bbr,bbr,0,0,90,0.038186345502731145,0.9954494558366812,61.5,,11.859974820058966,90012.125,0.9389497752925025,0.6698043290328677,0.3897050374034372,0.2779503858411703,0.6063614602863929,0.6053032135412258,325.645,50.0,11.83294114728682,"{1: {'delay': 324.201, 'loss': 0.013798209102844128, 'tput': 2.6203746623550117}, 'all': {'delay': 325.645, 'loss': 0.038186345502731145, 'tput': 11.859974820058964}, 3: {'delay': 325.442, 'loss': 0.03475010591186656, 'tput': 2.035753265883253}, 4: {'delay': 325.293, 'loss': 0.030344748977142677, 'tput': 1.9073575648396133}, 5: {'delay': 326.191, 'loss': 0.08320375246631506, 'tput': 3.6674328146973783}, 6: {'delay': 146.79, 'loss': 0.01403541347477466, 'tput': 1.0033720283170555}, 2: {'delay': 324.988, 'loss': 0.021933929824524023, 'tput': 2.418728885595447}}",0.9993176528123106,0.991599443271624,172.68397573448425,0.870935243723442,5.371906976744186,6.461034170542636
8,3xbbr0ms_3xbbr0ms_queue1111701B,1,12,1111701,bbr,bbr,0,0,90,0.001802694807038652,0.9976483083230254,57.5,,11.885568104506914,90008.052,0.9680055627621924,0.6009182071216244,0.4599050124275612,0.2964709307188716,0.3135491527057195,0.6080956050233126,683.7489999999999,50.0,11.867731844961241,"{1: {'delay': 544.172, 'loss': 0.001322608493235622, 'tput': 2.617527505038579}, 'all': {'delay': 683.749, 'loss': 0.0018026948070386517, 'tput': 11.885568104506916}, 3: {'delay': 663.953, 'loss': 0.001647689123849938, 'tput': 1.9107219137548528}, 4: {'delay': 669.064, 'loss': 0.0019289577712564565, 'tput': 1.8259434634666063}, 5: {'delay': 671.679, 'loss': 0.002123870749721646, 'tput': 1.939110372574211}, 6: {'delay': 762.809, 'loss': 0.0024561813606472915, 'tput': 3.3871091055961924}, 2: {'delay': 662.587, 'loss': 0.0014482603328966892, 'tput': 2.2394093887032525}}",0.9990225579971715,0.9718063378146216,239.4213405636993,0.9052787969383131,4.923162790697673,6.9445690542635665
9,3xbbr0ms_3xbbr0ms_queue75000B,1,12,75000,bbr,bbr,0,0,90,0.1364818094977014,0.8311211761007709,8.5,,11.850858750831078,90006.43400000002,0.9630675365810072,0.3440452842703993,0.4715819992269114,0.25235995682858964,0.2713459894464943,0.1857273997118589,75.015,50.0,11.838883720930236,"{1: {'delay': 75.103, 'loss': 0.11531243871115937, 'tput': 3.166037884613171}, 'all': {'delay': 75.015, 'loss': 0.1364818094977014, 'tput': 11.850858750831078}, 3: {'delay': 75.081, 'loss': 0.15987664483634467, 'tput': 2.472953717562795}, 4: {'delay': 75.097, 'loss': 0.1536947489656617, 'tput': 2.1591359462814412}, 5: {'delay': 74.827, 'loss': 0.13368702780329966, 'tput': 3.410734672593465}, 6: {'delay': 74.825, 'loss': 0.11131557186429564, 'tput': 0.9707095435261657}, 2: {'delay': 75.056, 'loss': 0.14058207882818496, 'tput': 1.4185717477434836}}",0.9743434295047144,0.9915453099363162,70.87456244094489,0.8762731669171057,5.372837209302326,6.466046511627908
