ex_name,run_id,bottleneck_tput,q_size,scheme_a,scheme_b,rtprop_a,rtprop_b,runtime,loss,interval_fairness,time_to_max_fairness,delay,throughput,duration,throughput_rsd1,throughput_rsd2,throughput_rsd3,throughput_rsd4,throughput_rsd5,throughput_rsd6,95percentile_bottleneck_delay,bottleneck_rtprop,converged_tput,flow_data,group_interval_fairness,group_overall_fairness,mean_bottleneck_delay,overall_fairness,scheme_a_tput,scheme_b_tput
3xvivace0ms_3xvivace0ms_queue1500000B,1,12,1500000,vivace,vivace,0,0,90,0.00028279847809853376,0.8657022674683226,6.5,,11.129395401827827,89923.775,0.7788606507822966,0.4386249592432778,0.3695615846445002,0.34309605360638634,0.4648117181715932,0.35861316534150167,91.661,50.0,11.275493209302326,"{1: {'delay': 140.695, 'loss': 0.00012070033898325949, 'tput': 3.236827650826012}, 'all': {'delay': 91.661, 'loss': 0.00028279847809853376, 'tput': 11.129395401827827}, 3: {'delay': 107.554, 'loss': 0.0005430983083837271, 'tput': 1.8982668946543972}, 4: {'delay': 83.726, 'loss': 0.00019299942256867375, 'tput': 1.6369019215475}, 5: {'delay': 66.695, 'loss': 0.0004921202969285776, 'tput': 2.376096415525485}, 6: {'delay': 61.152, 'loss': 0.00022312725769557673, 'tput': 1.6795696832887512}, 2: {'delay': 157.983, 'loss': 0.00022305406260381133, 'tput': 1.89005665485523}}",0.9723116675009239,0.9993225229676026,42.96444730329479,0.9775036260098439,5.490955410852713,5.7845377984496125
3xvivace0ms_3xvivace0ms_queue248584B,1,12,248584,vivace,vivace,0,0,90,0.004149733711741654,0.8889626602856318,40.5,,11.14008849574842,89926.128,0.8954489066850926,0.6828472516208416,0.35985888079594597,0.37375245561224957,0.3751856209595063,0.3356777357557931,158.172,50.0,11.225621333333333,"{1: {'delay': 144.859, 'loss': 0.0024018776814627163, 'tput': 2.4503428271338694}, 'all': {'delay': 158.172, 'loss': 0.004149733711741654, 'tput': 11.14008849574842}, 3: {'delay': 164.69, 'loss': 0.004791858833079532, 'tput': 2.10744280045246}, 4: {'delay': 140.891, 'loss': 0.004534564117999462, 'tput': 1.6616591111150987}, 5: {'delay': 149.907, 'loss': 0.005737677870471303, 'tput': 1.945326712675183}, 6: {'delay': 117.211, 'loss': 0.0032226925990427313, 'tput': 1.9186539554210627}, 2: {'delay': 176.726, 'loss': 0.004706469791992851, 'tput': 2.689292941931225}}",0.9763319382880388,0.9999379992264263,48.68609801379541,0.9952348902501088,5.5686137054263565,5.657007627906977
3xvivace0ms_3xvivace0ms_queue184234B,1,12,184234,vivace,vivace,0,0,90,0.004264201617167673,0.8689656211648449,2.5,,11.21896593406883,89928.057,0.8041336745027458,0.6335743725748942,0.43427349346050653,0.3016377183328021,0.41185400146216533,0.4347137298575222,108.738,50.0,11.401177798449613,"{1: {'delay': 99.995, 'loss': 0.003734039462288785, 'tput': 2.669051087971931}, 'all': {'delay': 108.738, 'loss': 0.004264201617167673, 'tput': 11.21896593406883}, 3: {'delay': 100.744, 'loss': 0.002991342133527586, 'tput': 1.7865667075161116}, 4: {'delay': 104.001, 'loss': 0.004541636053468023, 'tput': 1.5498270246108041}, 5: {'delay': 142.089, 'loss': 0.006138000802556776, 'tput': 2.1017195953913728}, 6: {'delay': 130.564, 'loss': 0.007165513912371413, 'tput': 2.3082288794716104}, 2: {'delay': 93.243, 'loss': 0.0022191427408478903, 'tput': 2.5119989275854353}}",0.9676513585876937,0.9975355650208952,42.30204737098868,0.9812182529528931,5.417244775193798,5.983933023255814
3xvivace0ms_3xvivace0ms_queue610635B,1,12,610635,vivace,vivace,0,0,90,0.0013769701031123294,0.9147816901410813,55.0,,11.24193208303551,89925.721,0.6942988455541685,0.34701111669443624,0.3246645016236758,0.3857890905068317,0.35230794896443063,0.3899926108274606,379.854,50.0,11.404845643410852,"{1: {'delay': 341.799, 'loss': 0.0010308851163033372, 'tput': 3.947031845338578}, 'all': {'delay': 379.854, 'loss': 0.0013769701031123294, 'tput': 11.24193208303551}, 3: {'delay': 302.695, 'loss': 0.0017737586204880085, 'tput': 1.7081898394487123}, 4: {'delay': 351.596, 'loss': 0.0009153221192932381, 'tput': 1.6933943933197362}, 5: {'delay': 400.607, 'loss': 0.0021474838262567353, 'tput': 1.9762862525057945}, 6: {'delay': 389.021, 'loss': 0.0013532565807813368, 'tput': 1.7136379481565587}, 2: {'delay': 379.683, 'loss': 0.0015390492798899036, 'tput': 1.6881168991005868}}",0.9787813825037016,0.99702459720011,67.24206331973487,0.9699821307668054,6.013938108527132,5.390907534883721
3xvivace0ms_3xvivace0ms_queue101196B,1,12,101196,vivace,vivace,0,0,90,0.008419946224202945,0.8893524730016634,45.0,,11.196961281326255,89926.324,0.5955329116379173,0.6416450733113976,0.33195167448734014,0.39865710533824533,0.272570119862181,0.39959221415538243,89.402,50.0,11.334081488372092,"{1: {'delay': 89.507, 'loss': 0.0074861920117775815, 'tput': 3.447763004747712}, 'all': {'delay': 89.402, 'loss': 0.008419946224202945, 'tput': 11.196961281326255}, 3: {'delay': 91.353, 'loss': 0.017239343736955015, 'tput': 1.6800498782358992}, 4: {'delay': 81.616, 'loss': 0.0024500252963471914, 'tput': 1.8838543402753265}, 5: {'delay': 81.313, 'loss': 0.0021042072454869887, 'tput': 1.6410487619200085}, 6: {'delay': 68.226, 'loss': 0.0026208985183163724, 'tput': 1.6762366634216006}, 2: {'delay': 91.837, 'loss': 0.014836691339835562, 'tput': 2.332519690489334}}",0.9774923370421237,0.9941136235242073,40.39615649373231,0.9541919896503878,6.103116899224807,5.230964589147287
3xvivace0ms_3xvivace0ms_queue823920B,1,12,823920,vivace,vivace,0,0,90,0.00039556323616296574,0.8837475064670443,50.5,,11.240643035801794,89925.133,0.8523892367083706,0.48148332923290876,0.40723411224934014,0.270752550778093,0.36013351844811925,0.4243863772985282,65.804,50.0,11.376815627906977,"{1: {'delay': 64.73, 'loss': 0.00013789724326285224, 'tput': 2.8873861624843964}, 'all': {'delay': 65.804, 'loss': 0.00039556323616296574, 'tput': 11.240643035801794}, 3: {'delay': 65.696, 'loss': 0.00035009494681681463, 'tput': 2.100111446696685}, 4: {'delay': 69.275, 'loss': 0.0007257790762579264, 'tput': 1.5025889217250366}, 5: {'delay': 62.176, 'loss': 0.0006829557757623839, 'tput': 2.446673920839306}, 6: {'delay': 62.748, 'loss': 0.0005127822993511444, 'tput': 1.785541723641403}, 2: {'delay': 69.88, 'loss': 0.0002572183867638467, 'tput': 2.164464389695088}}",0.9805704346862847,0.9998762397558725,36.42472455706971,0.9775580817053685,5.751693891472868,5.625121736434108
3xvivace0ms_3xvivace0ms_queue335410B,1,12,335410,vivace,vivace,0,0,90,0.00172093999391576,0.8441750119918153,12.0,,11.235692210615403,89927.117,0.8424214103313574,0.5570640178735802,0.4262301490151659,0.590471235867279,0.3875065622197924,0.4718614403654732,73.267,50.0,11.40264334883721,"{1: {'delay': 71.404, 'loss': 0.0008597239552587954, 'tput': 2.6367908152333537}, 'all': {'delay': 73.267, 'loss': 0.00172093999391576, 'tput': 11.235692210615403}, 3: {'delay': 70.196, 'loss': 0.0014638671234655787, 'tput': 1.9151719736923873}, 4: {'delay': 74.818, 'loss': 0.0008869689356137966, 'tput': 2.001887621754561}, 5: {'delay': 70.361, 'loss': 0.0019237777940560585, 'tput': 2.0214291174341263}, 6: {'delay': 76.698, 'loss': 0.004594816360593668, 'tput': 2.2421227481526977}, 2: {'delay': 75.391, 'loss': 0.0012864750045218365, 'tput': 2.162251298193628}}",0.9739461802072904,0.9923379998037255,39.61001733394443,0.9899205199908904,5.200345798449613,6.202297550387597
3xvivace0ms_3xvivace0ms_queue452563B,1,12,452563,vivace,vivace,0,0,90,0.0006663820633634465,0.8961161277210254,51.0,,11.266081144705739,89927.74,0.8898679118721572,0.37489865175332576,0.30611985288622157,0.43601344604897696,0.41281011819254687,0.3629150020873564,97.985,50.0,11.427412341085272,"{1: {'delay': 79.727, 'loss': 0.000602716730921049, 'tput': 3.0151729909749325}, 'all': {'delay': 97.985, 'loss': 0.0006663820633634465, 'tput': 11.266081144705739}, 3: {'delay': 90.191, 'loss': 0.0006100150518923986, 'tput': 1.7034474988494033}, 4: {'delay': 128.042, 'loss': 0.0007242370240454488, 'tput': 2.5887397430930665}, 5: {'delay': 130.574, 'loss': 0.0004577249836544839, 'tput': 1.8571508550752138}, 6: {'delay': 88.954, 'loss': 0.001560364248038626, 'tput': 1.8118774441034833}, 2: {'delay': 78.243, 'loss': 0.00027476662338066227, 'tput': 1.9370973487513716}}",0.9694575574918756,0.9950424755735673,42.626988521980486,0.9758078376639309,5.310404961240311,6.117007379844962
3xvivace0ms_3xvivace0ms_queue1111701B,1,12,1111701,vivace,vivace,0,0,90,0.0006559928743341548,0.8383652575660193,35.0,,11.28692140807354,89905.78700000001,0.7518576585385676,0.5265511832824056,0.43307002293866165,0.38073984478570466,0.2951113910691819,0.42321582953274556,108.379,50.0,11.417013085271318,"{1: {'delay': 116.12, 'loss': 0.00047397776288604643, 'tput': 3.0271755297522924}, 'all': {'delay': 108.379, 'loss': 0.0006559928743341548, 'tput': 11.28692140807354}, 3: {'delay': 101.423, 'loss': 0.0008394862803956515, 'tput': 2.435519363936166}, 4: {'delay': 118.026, 'loss': 0.0008764918758747964, 'tput': 1.7576521960100888}, 5: {'delay': 106.347, 'loss': 0.0008198634341765043, 'tput': 1.6013553577440647}, 6: {'delay': 75.386, 'loss': 0.00089538452914939, 'tput': 2.0216547918299184}, 2: {'delay': 99.601, 'loss': 0.0002807142478548075, 'tput': 2.0400699841621734}}",0.9723130773170413,0.9953970801008192,43.51736132439967,0.9830294417085805,6.096693581395349,5.320319503875969
3xvivace0ms_3xvivace0ms_queue75000B,1,12,75000,vivace,vivace,0,0,90,0.012284119159703288,0.8510705581170404,3.0,,11.253620738528745,89936.48599999999,0.8799702770029686,0.4697870548913948,0.693529923523876,0.40388430086945243,0.45408538077639254,0.3866061037584977,72.624,50.0,11.353131658914728,"{1: {'delay': 70.87, 'loss': 0.011623194549992166, 'tput': 2.7110034609232696}, 'all': {'delay': 72.624, 'loss': 0.012284119159703288, 'tput': 11.253620738528745}, 3: {'delay': 74.01, 'loss': 0.0170909146681254, 'tput': 2.924854706979663}, 4: {'delay': 70.156, 'loss': 0.007731106475079463, 'tput': 1.7352006288476827}, 5: {'delay': 69.036, 'loss': 0.006417095058468658, 'tput': 1.8901940360729}, 6: {'delay': 73.71, 'loss': 0.011538418150311869, 'tput': 1.9877391934746047}, 2: {'delay': 71.674, 'loss': 0.01567472286453786, 'tput': 1.6881966739802106}}",0.9678958412445391,0.9999172344412487,36.65121017809173,0.9898253905519341,5.62492080620155,5.728210852713178
