ex_name,run_id,bottleneck_tput,q_size,scheme_a,scheme_b,rtprop_a,rtprop_b,runtime,loss,interval_fairness,time_to_max_fairness,delay,throughput,duration,throughput_rsd1,throughput_rsd2,throughput_rsd3,throughput_rsd4,throughput_rsd5,throughput_rsd6,95percentile_bottleneck_delay,bottleneck_rtprop,converged_tput,flow_data,group_interval_fairness,group_overall_fairness,mean_bottleneck_delay,overall_fairness,scheme_a_tput,scheme_b_tput
3xcubic0ms_3xcubic0ms_queue1500000B,1,12,1500000,cubic,cubic,0,0,90,0.021440660208852602,0.8506927829739005,54.5,,11.980943817556316,90008.794,0.46543235051463644,0.4678251414938094,0.5998870714101662,0.6613322247810507,0.6052870522574194,0.6059096230909335,1022.312,50.0,12.00003453968254,"{1: {'delay': 1022.227, 'loss': 0.01276081691914177, 'tput': 6.251364472542698}, 'all': {'delay': 1022.312, 'loss': 0.021440660208852602, 'tput': 11.980943817556316}, 3: {'delay': 1022.445, 'loss': 0.02749940620154745, 'tput': 1.452580681265595}, 4: {'delay': 1022.412, 'loss': 0.04064490304111912, 'tput': 1.0581021020510728}, 5: {'delay': 1022.246, 'loss': 0.036755086782506274, 'tput': 1.1001871585933554}, 6: {'delay': 1022.382, 'loss': 0.03560833076680692, 'tput': 1.3564538136674733}, 2: {'delay': 1022.416, 'loss': 0.02249739915313398, 'tput': 1.8775542395208287}}",0.9746182405898913,0.8723279535044466,833.1790728868813,0.7150051825518,8.295428571428571,3.7046059682539685
3xcubic0ms_3xcubic0ms_queue248584B,1,12,248584,cubic,cubic,0,0,90,0.005675925498930479,0.9242330263369262,26.0,,11.980905205425687,90011.966,0.9340564415786142,0.3638078022763855,0.2325175849781714,0.27718440625162544,0.23052144910198755,0.25751819034778145,190.072,50.0,11.999813953488372,"{1: {'delay': 190.035, 'loss': 0.004049074330994551, 'tput': 3.1489418089787473}, 'all': {'delay': 190.072, 'loss': 0.005675925498930479, 'tput': 11.980905205425687}, 3: {'delay': 190.141, 'loss': 0.007429269576041397, 'tput': 2.369919122973893}, 4: {'delay': 189.95, 'loss': 0.006527550966917817, 'tput': 2.1224898189103847}, 5: {'delay': 190.119, 'loss': 0.007130038164189445, 'tput': 1.723050416695924}, 6: {'delay': 190.231, 'loss': 0.006677060187282424, 'tput': 1.8723143145016197}, 2: {'delay': 189.984, 'loss': 0.004191133703218997, 'tput': 2.417783302077965}}",0.9864834240492736,0.998847401800791,173.11405380507344,0.9839531723341844,6.203720930232558,5.796093023255814
3xcubic0ms_3xcubic0ms_queue184234B,1,12,184234,cubic,cubic,0,0,90,0.0053017964035800835,0.959177386953138,49.5,,11.980962628007102,90010.533,0.7409639739833783,0.24567958712632101,0.26326554483756165,0.2470872594212646,0.2869367133897563,0.33249358209177643,147.16,50.0,12.000186046511628,"{1: {'delay': 146.923, 'loss': 0.003610324838924095, 'tput': 4.159782912099799}, 'all': {'delay': 147.16, 'loss': 0.0053017964035800835, 'tput': 11.980962628007102}, 3: {'delay': 147.249, 'loss': 0.004625068898326812, 'tput': 2.2957712973397615}, 4: {'delay': 147.268, 'loss': 0.006222404434079065, 'tput': 1.6634397209387577}, 5: {'delay': 147.228, 'loss': 0.008228741242921278, 'tput': 1.7386264016081585}, 6: {'delay': 147.234, 'loss': 0.006539106100233005, 'tput': 1.8551648102217402}, 2: {'delay': 147.219, 'loss': 0.006178024724866837, 'tput': 1.8191851047728982}}",0.99787576344573,0.98591673235406,132.57758934790107,0.9715286381357174,6.717209302325581,5.282976744186047
3xcubic0ms_3xcubic0ms_queue610635B,1,12,610635,cubic,cubic,0,0,90,0.00907459666891075,0.9908698632548012,46.5,,11.980736646606358,90014.234,0.7102734834529139,0.2573336310262716,0.2546928270733166,0.2776341171025368,0.4148266828390626,0.34434472805827965,430.842,50.0,11.999824868217054,"{1: {'delay': 430.818, 'loss': 0.005662975488905486, 'tput': 4.683840086795077}, 'all': {'delay': 430.842, 'loss': 0.00907459666891075, 'tput': 11.980736646606358}, 3: {'delay': 430.775, 'loss': 0.0111964638091544, 'tput': 1.7426712380903413}, 4: {'delay': 430.845, 'loss': 0.014027477979214331, 'tput': 1.5709609241239821}, 5: {'delay': 430.784, 'loss': 0.012305609605995249, 'tput': 1.6334007119886138}, 6: {'delay': 430.895, 'loss': 0.010968207935494911, 'tput': 1.755704548063605}, 2: {'delay': 430.911, 'loss': 0.008901596005949752, 'tput': 2.0496832262709175}}",0.9978416562756123,0.9813692507893702,368.2451533694551,0.9639569863104379,6.826604651162791,5.173220217054264
3xcubic0ms_3xcubic0ms_queue101196B,1,12,101196,cubic,cubic,0,0,90,0.006621218212183533,0.9314151660839837,7.5,,11.981031311215062,90010.01699999999,0.7410512308009538,0.39527943046003283,0.24446089945862787,0.27936363808980075,0.2652889534601003,0.28890860598323104,92.471,50.0,12.0,"{1: {'delay': 92.452, 'loss': 0.004202591037461012, 'tput': 3.60148970316766}, 'all': {'delay': 92.471, 'loss': 0.006621218212183533, 'tput': 11.981031311215062}, 3: {'delay': 92.477, 'loss': 0.007597415927615536, 'tput': 1.9215674452176768}, 4: {'delay': 92.542, 'loss': 0.007497090523051586, 'tput': 2.098403715342763}, 5: {'delay': 92.516, 'loss': 0.007620232357450352, 'tput': 2.056381421636818}, 6: {'delay': 92.503, 'loss': 0.009269406846625694, 'tput': 1.8176411521787346}, 2: {'delay': 92.382, 'loss': 0.006824987715022157, 'tput': 2.138026675577472}}",0.9920856845425684,0.9997821990010015,83.81661044292882,0.9920982378300663,6.088558139534884,5.911441860465116
3xcubic0ms_3xcubic0ms_queue823920B,1,12,823920,cubic,cubic,0,0,90,0.01063458108601667,0.9963782034057288,61.0,,11.981375019806256,90009.438,0.679237743433396,0.2825137622170828,0.30298118292703885,0.3044172393673887,0.2152180573039117,0.2998704799769416,572.019,50.0,12.000011,"{1: {'delay': 571.974, 'loss': 0.005962947707529032, 'tput': 5.067218306595804}, 'all': {'delay': 572.019, 'loss': 0.01063458108601667, 'tput': 11.981375019806256}, 3: {'delay': 571.973, 'loss': 0.013659650350725805, 'tput': 1.472457278934801}, 4: {'delay': 572.168, 'loss': 0.01492372796819208, 'tput': 1.6139210638762083}, 5: {'delay': 572.004, 'loss': 0.014011232282934105, 'tput': 2.0681993692284237}, 6: {'delay': 572.021, 'loss': 0.014392807100785276, 'tput': 1.7571750693873704}, 2: {'delay': 572.089, 'loss': 0.013228342028064555, 'tput': 1.5110324557903494}}",0.9981118360771667,0.9959247990183209,487.95952612899276,0.9288402465589436,6.3838125,5.6161985
3xcubic0ms_3xcubic0ms_queue335410B,1,12,335410,cubic,cubic,0,0,90,0.005983868816960114,0.9460503028468481,33.5,,11.981272316050152,90009.20800000001,0.7949441250302439,0.15790499246238834,0.24001636188454564,0.20094183843004262,0.22515946570946047,0.31084814793688775,248.039,50.0,12.0001985,"{1: {'delay': 248.01, 'loss': 0.00439943702467005, 'tput': 3.712131381265974}, 'all': {'delay': 248.039, 'loss': 0.005983868816960114, 'tput': 11.981272316050152}, 3: {'delay': 248.105, 'loss': 0.007802572736791524, 'tput': 1.893072187454375}, 4: {'delay': 248.022, 'loss': 0.0062126614943422975, 'tput': 2.591463572182811}, 5: {'delay': 247.954, 'loss': 0.0059266457972106945, 'tput': 1.5860847514191938}, 6: {'delay': 248.175, 'loss': 0.008759361782595398, 'tput': 1.425828771379351}, 2: {'delay': 248.069, 'loss': 0.005770472705785568, 'tput': 2.315304955649764}}",0.9969205659012733,0.9982353154897283,221.86922901646636,0.9588596835168652,6.252375,5.7478235
3xcubic0ms_3xcubic0ms_queue452563B,1,12,452563,cubic,cubic,0,0,90,0.007466087616349482,0.8891056492213347,14.0,,11.980601039982915,90012.248,0.9711432683854067,0.23039711232429105,0.22688509730242573,0.21124263835868584,0.34905077572342247,0.22332640663221573,325.146,50.0,12.000011,"{1: {'delay': 325.087, 'loss': 0.0049039121117455675, 'tput': 3.6251389965314513}, 'all': {'delay': 325.146, 'loss': 0.007466087616349482, 'tput': 11.980601039982915}, 3: {'delay': 325.201, 'loss': 0.008204317639705083, 'tput': 2.073455011923401}, 4: {'delay': 325.28, 'loss': 0.009228536853839064, 'tput': 1.3967383904217154}, 5: {'delay': 325.099, 'loss': 0.0067831317487068166, 'tput': 2.796053361959419}, 6: {'delay': 325.132, 'loss': 0.012477420954790208, 'tput': 2.0418426448431637}, 2: {'delay': 325.127, 'loss': 0.007438009938203649, 'tput': 1.8322971612249686}}",0.9792125746486495,0.9962051455084808,291.9146373862347,0.9443613978193309,5.6296875,6.3703235
3xcubic0ms_3xcubic0ms_queue1111701B,1,12,1111701,cubic,cubic,0,0,90,0.014960914856545715,0.9408761146938496,52.5,,11.981009604734703,90015.188,0.4894684147084602,0.3739961900734238,0.4661106437037784,0.506496539718889,0.4691857346702291,0.4602783415624802,764.093,50.0,12.000011086614172,"{1: {'delay': 764.02, 'loss': 0.007626881397109098, 'tput': 6.192438013904942}, 'all': {'delay': 764.093, 'loss': 0.014960914856545715, 'tput': 11.981009604734703}, 3: {'delay': 764.209, 'loss': 0.020904473932179535, 'tput': 1.6859785449100486}, 4: {'delay': 764.044, 'loss': 0.026196240103490198, 'tput': 1.1460184697323728}, 5: {'delay': 764.155, 'loss': 0.026272807491549588, 'tput': 1.2502435528941755}, 6: {'delay': 764.272, 'loss': 0.025134467031910024, 'tput': 1.2797529595855552}, 2: {'delay': 764.078, 'loss': 0.018336234454357392, 'tput': 1.5710756483618997}}",0.9852882288821303,0.8892293986829329,642.1323055716257,0.7473719617558424,8.117669291338583,3.8823417952755905
3xcubic0ms_3xcubic0ms_queue75000B,1,12,75000,cubic,cubic,0,0,90,0.008615769510228022,0.9348188103507634,5.0,,11.981054793963068,90008.839,0.8663869478207895,0.3453080551367183,0.24319899283337984,0.35186033909008635,0.34461169696107546,0.3491672740844011,74.53,50.0,12.0,"{1: {'delay': 74.471, 'loss': 0.00891011084177884, 'tput': 3.2035639656050865}, 'all': {'delay': 74.53, 'loss': 0.008615769510228022, 'tput': 11.981054793963068}, 3: {'delay': 74.52, 'loss': 0.008152104236938906, 'tput': 2.137125455164265}, 4: {'delay': 74.647, 'loss': 0.009126870684311839, 'tput': 2.120686774328794}, 5: {'delay': 74.607, 'loss': 0.009670416239818125, 'tput': 1.985273300859015}, 6: {'delay': 74.575, 'loss': 0.00912200892923698, 'tput': 1.8666222343783805}, 2: {'delay': 74.473, 'loss': 0.007140254916620847, 'tput': 2.3564940486346617}}",0.9858542452614721,0.999148814976916,67.50653394601571,0.9979227993298454,6.175125,5.824875
